task_idx,type
abc344_a,STDIO
abc344_b,STDIO
abc344_c,STDIO
abc344_d,STDIO
abc344_e,STDIO
abc345_b,STDIO
abc345_d,STDIO
abc346_a,STDIO
abc346_b,STDIO
abc346_c,STDIO
abc346_d,STDIO
abc346_e,STDIO
abc347_a,STDIO
abc347_b,STDIO
abc347_c,STDIO
abc347_e,STDIO
abc348_a,STDIO
abc348_b,STDIO
abc348_c,STDIO
abc348_d,STDIO
abc348_e,STDIO
abc349_a,STDIO
abc349_b,STDIO
abc349_c,STDIO
abc349_d,STDIO
abc349_e,STDIO
abc350_a,STDIO
abc350_b,STDIO
abc350_c,STDIO
abc350_d,STDIO
abc350_e,STDIO
abc351_a,STDIO
abc351_b,STDIO
abc351_c,STDIO
abc351_d,STDIO
abc351_e,STDIO
abc351_f,STDIO
abc352_a,STDIO
abc352_b,STDIO
abc352_c,STDIO
abc352_d,STDIO
abc352_e,STDIO
abc353_a,STDIO
abc353_b,STDIO
abc353_c,STDIO
abc353_d,STDIO
abc353_e,STDIO
abc354_a,STDIO
abc354_b,STDIO
abc354_c,STDIO
abc354_d,STDIO
abc354_e,STDIO
abc355_a,STDIO
abc355_b,STDIO
abc355_c,STDIO
abc355_d,STDIO
abc355_e,STDIO
abc356_a,STDIO
abc356_b,STDIO
abc356_c,STDIO
abc356_d,STDIO
abc356_e,STDIO
abc357_a,STDIO
abc357_b,STDIO
abc357_c,STDIO
abc357_d,STDIO
abc357_e,STDIO
abc358_a,STDIO
abc358_b,STDIO
abc358_c,STDIO
abc358_d,STDIO
abc358_e,STDIO
abc359_a,STDIO
abc359_b,STDIO
abc359_c,STDIO
abc359_d,STDIO
abc359_e,STDIO
abc360_a,STDIO
abc360_b,STDIO
abc360_c,STDIO
abc360_d,STDIO
abc360_e,STDIO
abc361_a,STDIO
abc361_b,STDIO
abc361_c,STDIO
abc361_d,STDIO
abc361_e,STDIO
abc361_f,STDIO
abc362_a,STDIO
abc362_b,STDIO
abc362_c,STDIO
abc362_d,STDIO
abc362_e,STDIO
abc363_a,STDIO
abc363_b,STDIO
abc363_c,STDIO
abc363_d,STDIO
abc363_e,STDIO
abc363_f,STDIO
abc364_a,STDIO
abc364_b,STDIO
abc364_c,STDIO
abc364_d,STDIO
abc364_e,STDIO
abc364_f,STDIO
abc365_a,STDIO
abc365_b,STDIO
abc365_c,STDIO
abc365_d,STDIO
abc365_e,STDIO
abc366_a,STDIO
abc366_b,STDIO
abc366_c,STDIO
abc366_d,STDIO
abc366_e,STDIO
abc366_f,STDIO
abc366_g,STDIO
abc367_a,STDIO
abc367_b,STDIO
abc367_c,STDIO
abc367_d,STDIO
abc367_e,STDIO
abc367_f,STDIO
abc367_g,STDIO
abc368_a,STDIO
abc368_b,STDIO
abc368_c,STDIO
abc368_d,STDIO
abc368_e,STDIO
abc368_f,STDIO
abc368_g,STDIO
abc369_a,STDIO
abc369_b,STDIO
abc369_c,STDIO
abc369_d,STDIO
abc369_e,STDIO
abc369_g,STDIO
abc370_a,STDIO
abc370_b,STDIO
abc370_c,STDIO
abc370_d,STDIO
abc370_e,STDIO
abc370_f,STDIO
abc370_g,STDIO
abc371_a,STDIO
abc371_b,STDIO
abc371_c,STDIO
abc371_d,STDIO
abc371_e,STDIO
abc371_f,STDIO
abc371_g,STDIO
abc372_a,STDIO
abc372_c,STDIO
abc372_d,STDIO
abc372_e,STDIO
abc372_f,STDIO
abc372_g,STDIO
abc373_a,STDIO
abc373_b,STDIO
abc373_c,STDIO
abc373_e,STDIO
abc373_f,STDIO
abc373_g,STDIO
abc374_a,STDIO
abc374_b,STDIO
abc374_c,STDIO
abc374_d,STDIO
abc374_e,STDIO
abc374_f,STDIO
abc374_g,STDIO
abc375_a,STDIO
abc375_b,STDIO
abc375_c,STDIO
abc375_d,STDIO
abc375_e,STDIO
abc375_f,STDIO
abc375_g,STDIO
abc376_a,STDIO
abc376_b,STDIO
abc376_c,STDIO
abc376_d,STDIO
abc376_e,STDIO
abc376_f,STDIO
abc376_g,STDIO
abc377_a,STDIO
abc377_b,STDIO
abc377_c,STDIO
abc377_d,STDIO
abc377_e,STDIO
abc377_f,STDIO
abc377_g,STDIO
abc378_a,STDIO
abc378_b,STDIO
abc378_c,STDIO
abc378_d,STDIO
abc378_e,STDIO
abc378_f,STDIO
abc378_g,STDIO
abc379_a,STDIO
abc379_b,STDIO
abc379_c,STDIO
abc379_d,STDIO
abc379_e,STDIO
abc379_f,STDIO
abc379_g,STDIO
abc380_a,STDIO
abc380_b,STDIO
abc380_c,STDIO
abc380_d,STDIO
abc380_e,STDIO
abc380_f,STDIO
abc380_g,STDIO
abc381_a,STDIO
abc381_b,STDIO
abc381_c,STDIO
abc381_d,STDIO
abc381_e,STDIO
abc382_a,STDIO
abc382_b,STDIO
abc382_c,STDIO
abc382_d,STDIO
abc382_f,STDIO
abc382_g,STDIO
abc383_a,STDIO
abc383_b,STDIO
abc383_c,STDIO
abc383_d,STDIO
abc383_e,STDIO
abc384_a,STDIO
abc384_b,STDIO
abc384_c,STDIO
abc384_d,STDIO
abc384_e,STDIO
abc384_f,STDIO
abc384_g,STDIO
abc385_a,STDIO
abc385_b,STDIO
abc385_c,STDIO
abc385_d,STDIO
abc385_e,STDIO
abc385_f,STDIO
abc386_a,STDIO
abc386_b,STDIO
abc386_c,STDIO
abc386_d,STDIO
abc386_e,STDIO
abc386_f,STDIO
abc387_a,STDIO
abc387_b,STDIO
abc387_c,STDIO
abc387_f,STDIO
abc388_a,STDIO
abc388_b,STDIO
abc388_c,STDIO
abc388_d,STDIO
abc388_e,STDIO
abc388_f,STDIO
abc388_g,STDIO
abc389_a,STDIO
abc389_b,STDIO
abc389_d,STDIO
abc389_e,STDIO
abc389_f,STDIO
abc389_g,STDIO
abc390_a,STDIO
abc390_b,STDIO
abc390_c,STDIO
abc390_d,STDIO
abc390_e,STDIO
abc390_f,STDIO
abc390_g,STDIO
abc391_a,STDIO
abc391_b,STDIO
abc391_d,STDIO
abc391_e,STDIO
abc391_f,STDIO
abc391_g,STDIO
abc392_a,STDIO
abc392_b,STDIO
abc392_c,STDIO
abc392_d,STDIO
abc392_f,STDIO
abc392_g,STDIO
abc393_a,STDIO
abc393_b,STDIO
abc393_d,STDIO
abc393_e,STDIO
abc393_f,STDIO
abc394_a,STDIO
abc394_b,STDIO
abc394_c,STDIO
abc394_d,STDIO
abc394_e,STDIO
abc394_f,STDIO
abc394_g,STDIO
abc395_a,STDIO
abc395_b,STDIO
abc395_c,STDIO
abc395_e,STDIO
abc395_f,STDIO
abc396_a,STDIO
abc396_b,STDIO
abc396_c,STDIO
abc396_d,STDIO
abc396_e,STDIO
abc396_f,STDIO
abc396_g,STDIO
abc397_a,STDIO
abc397_b,STDIO
abc397_c,STDIO
abc397_d,STDIO
abc397_e,STDIO
abc397_f,STDIO
abc397_g,STDIO
abc398_a,STDIO
abc398_b,STDIO
abc398_c,STDIO
abc398_d,STDIO
abc398_f,STDIO
abc398_g,STDIO
abc399_a,STDIO
abc399_b,STDIO
abc399_c,STDIO
abc399_d,STDIO
abc399_e,STDIO
abc399_f,STDIO
abc400_a,STDIO
abc400_b,STDIO
abc400_c,STDIO
abc400_d,STDIO
abc400_e,STDIO
abc400_g,STDIO
arc181_a,STDIO
arc181_b,STDIO
arc181_c,STDIO
arc181_d,STDIO
arc182_a,STDIO
arc182_c,STDIO
arc182_d,STDIO
arc182_e,STDIO
arc183_a,STDIO
arc183_b,STDIO
arc183_c,STDIO
arc183_d,STDIO
arc184_c,STDIO
arc184_d,STDIO
arc184_e,STDIO
arc185_b,STDIO
arc185_c,STDIO
arc185_d,STDIO
arc185_e,STDIO
arc186_a,STDIO
arc186_b,STDIO
arc186_c,STDIO
arc186_d,STDIO
arc186_e,STDIO
arc187_b,STDIO
arc188_a,STDIO
arc188_b,STDIO
arc188_c,STDIO
arc188_d,STDIO
arc189_a,STDIO
arc189_b,STDIO
arc189_c,STDIO
arc189_d,STDIO
arc190_a,STDIO
arc190_c,STDIO
arc190_d,STDIO
arc191_a,STDIO
arc191_c,STDIO
arc191_d,STDIO
arc192_a,STDIO
arc192_b,STDIO
arc192_d,STDIO
arc192_e,STDIO
arc193_a,STDIO
arc193_b,STDIO
arc193_d,STDIO
arc194_a,STDIO
arc194_b,STDIO
arc194_c,STDIO
arc194_d,STDIO
arc194_e,STDIO
arc195_a,STDIO
arc195_b,STDIO
arc195_c,STDIO
arc195_d,STDIO
arc195_e,STDIO
arc196_a,STDIO
arc196_b,STDIO
arc196_c,STDIO
arc196_d,STDIO
